account_id,account_name,domain,industry,employee_range,country,lifecycle_stage,created_date,last_activity_date,owner,arr_eur,renewal_date
ACC-003248,Yellodordata SA,yellodordata.com,Manufacturing,201-500,nederland,prospect,2022-12-13,05/19/24,a.morel,,
ACC-003361,Optihalmobility SAS,optihalmobility.com,Education,501-1000,United Kingdom,lost,21/03/2022,2024-04-15,m.delacroix,,
ACC-024332,Belfoventech SAS,belfoventech.co,Logistics,11-50,Italie,prospect,2018-12-21,16/05/2026,j.vandenberg,,
ACC-008775,Serenihallogic & Co,serenihallogic.fr,Consulting,11-50,FR,customer,08/01/19,,l.moreau,40000,28/03/2027
ACC-005657,Brionexpartners SA,www.brionexpartners.io,Automotive,11-50,Fr,opportunity,06/21/25,2026-01-29,a.morel,,
ACC-005830,DelfifinRetail Group,delfifinretail.com,Real Estate,51-200,Suisse,prospect,2022-08-15,01/09/23,l.moreau,,
ACC-025902,TalolexWorks SARL,talolexworks.eu,Financial Services,11-50,Espagne,lost,11/06/2019,20/12/2025,,,
ACC-027796,NordinexFinance,nordinexfinance.com,Automotive,51-200,FR,customer,13/04/2024,03/04/2025,s.okafor,12000,05/07/2026
ACC-011954,CendraData,www.cendradata.eu,Automotive,501-1000,FRANCE,lead,13/02/2020,,p.lindqvist,,
ACC-019345,EderipraFlow France,www.ederipraflow.fr,,201-500,GB,customer,16/02/2025,01/08/2025,j.vandenberg,40000,29/06/2026
ACC-002947,IvoroviaIndustries,www.ivoroviaindustries.fr,Telecom,51-200,Germany,opportunity,01/06/24,14/01/2024,p.lindqvist,,
ACC-009923,PrimofinSoft & Co,,Retail,501-1000,Allemagne,opportunity,2023-09-16,,j.vandenberg,,
ACC-020246,BriogorMobility,briogormobility.eu,Automotive,11-50,Netherlands,lost,19/03/2025,10/03/25,a.morel,,
ACC-007793,GrimoviaLogistics,grimovialogistics.com,Logistics,201-500,FR,lead,20/01/2019,10/21/24,,,
ACC-023587,SylvavenLogic SAS,sylvavenlogic.fr,Construction,5000+,Spain,lead,2024-11-07,21/01/2026,,,
ACC-003612,FabriLab,fabrilab.co,Education,11-50,Italie,lead,03/10/22,2024-04-14,,,
ACC-001453,Delficalflow,delficalflow.fr,Construction,51-200,Spain,customer,2024-07-25,10/02/25,p.lindqvist,12000,01/13/27
ACC-002998,Neopralogic,neopralogic.fr,Energy,51-200,Netherlands,lost,10/12/2018,05/11/25,a.morel,,
ACC-017037,Novacalpartners France,novacalpartners.com,Real Estate,501-1000,FR,prospect,27/04/2023,27/04/2024,p.lindqvist,,
ACC-011747,AltanexHub,altanexhub.co,Real Estate,201-500,Belgium,lost,20/04/2023,28/08/2023,s.okafor,,
ACC-009436,VectofinTech,vectofintech.com,Agriculture,11-50,France,prospect,02/27/22,2023-01-24,l.moreau,,
ACC-007868,Rapivenservices France,rapivenservices.co,Automotive,11-50,france,churned,2024-10-24,02/20/25,,3000,
ACC-024664,Kelvifinworks Group,kelvifinworks.com,Media,1-10,Netherlands,prospect,06/12/22,23/03/2026,m.delacroix,,
ACC-012240,Gallirinforge,gallirinforge.com,Agriculture,501-1000,France,lead,09/07/18,,,,
ACC-028396,SereninexServices,sereninexservices.fr,Financial Services,501-1000,france,prospect,22/05/2019,10/19/20,,,
ACC-014361,VertiviaEnergie & Co,vertiviaenergie.com,Media,11-50,BE,customer,2024-10-14,2025-03-28,a.morel,12000,12/25/26
ACC-012211,Ardensoldata & Co,ardensoldata.com,Healthcare,51-200,DE,lost,04/19/20,05/12/2023,p.lindqvist,,
ACC-009487,SereninexSoft,sereninexsoft.com,Consulting,1-10,France,lead,08/15/18,2021-05-16,j.vandenberg,,
ACC-003126,IvoromarConseil,ivoromarconseil.fr,Software,51-200,Fr,lost,2020-02-20,,a.morel,,
ACC-029867,PerrivenFinance,www.perrivenfinance.eu,Construction,11-50,france,prospect,2019-07-12,,,,
ACC-029369,Flexigorpharma - import,flexigorpharma.co,Retail,11-50,belgium,lost,08/08/2022,,c.rinaldi,,
ACC-001043,Delfigroup France,www.delfigroup.co,Automotive,,UK,lost,09/05/2018,03/10/20,m.delacroix,,
ACC-023337,SylvaLabs France,sylvalabs.com,Consulting,,Fr,lost,10/03/23,11/01/2026,s.okafor,,
ACC-027938,Serenitaslabs,serenitaslabs.io,Agriculture,51-200,Allemagne,prospect,2021-12-04,11/06/24,j.vandenberg,,
ACC-016726,Ardengormobility SARL,ardengormobility.com,Consulting,51-200,France,lead,13/07/2019,,,,
ACC-023238,NovasolEnergie,novasolenergie.com,Construction,51-200,FRANCE,lead,23/05/2023,09/28/24,j.vandenberg,,
ACC-029436,Talocalmedia,talocalmedia.io,Real Estate,51-200,FRANCE,lead,24/03/2023,,l.moreau,,
ACC-003040,Cendravialogic Group,,Hospitality,51-200,france,customer,05/06/22,11/11/23,,5000,07/08/27
ACC-008405,Fleximarenergie,,,51-200,france,lead,2018-03-06,2024-03-25,,,
ACC-017766,IvorobelGroup SA,ivorobelgroup.com,Healthcare,,belgium,lead,05/07/2018,22/03/2026,j.vandenberg,,
ACC-024005,Quantilumsolutions Group,,Real Estate,11-50,Belgique,lost,01/18/21,09/01/2026,,,
ACC-006495,Kelvinexpharma,kelvinexpharma.fr,Consulting,11-50,FRANCE,lead,12/07/23,04/14/24,,,
ACC-021419,FernorinLogistics,fernorinlogistics.co,Retail,1001-5000,Allemagne,lead,17/08/2020,03/11/25,,,
ACC-001822,GrimoLabs,,Media,51-200,Allemagne,prospect,06/10/2018,02/29/20,m.delacroix,,
ACC-022500,PerrivenFlow,perrivenflow.eu,Healthcare,51-200,FRANCE,churned,2023-04-20,02/11/2025,,5000,
ACC-017201,Talodorpharma France,talodorpharma.fr,Retail,11-50,france,lead,2023-10-22,2025-10-02,,,
ACC-021157,Vertilexforge,vertilexforge.eu,,11-50,Espagne,prospect,2021-08-16,,p.lindqvist,,
ACC-012101,Zephisolconseil SA,zephisolconseil.io,Telecom,51-200,BE,lead,2018-01-29,2020-07-22,,,
ACC-004986,StellasolConsulting SA,stellasolconsulting.fr,Logistics,51-200,Spain,lead,2020-04-01,2026-04-10,t.becker,,
ACC-019427,WallilumPharma,wallilumpharma.fr,Telecom,51-200,france,churned,2020-02-17,2022-04-17,,8000,2027-04-27
